Lamusi A,People's Republic of China,Judo,M,23,0,0,0
Jamale Aarrass,France,Athletics,M,30,0,0,0
Maria Abakumova,Russian Federation,Athletics,F,26,0,0,0
Luc Abalo,France,Handball,M,27,1,0,0
Maria Laura Abalo,Argentina,Rowing,F,30,0,0,0
Mohamed Abarhoun,Morocco,Football,M,23,0,0,0
