"Europe","Spain","M","C","Water Polo","0","0","0","223040"
"Europe","Spain","M","C","Handball","0","0","0","223041"
"North America","Cuba","M","B","Diving","0","0","0","223042"
"South America","Paraguay","M","A","Table Tennis","0","0","0","223043"
"South America","Uruguay","M","B","Football","0","0","0","223044"
"Europe","Spain","M","C","Handball","0","0","0","223045"
"Africa","Comoros","F","C","Athletics","0","0","0","223046"
"Europe","Sweden","F","B","Handball","0","0","0","223047"
"Europe","Germany","M","D","Equestrian","0","0","0","223048"
"Asia","Indonesia","M","C","Badminton","0","0","0","223049"
"Asia","Pakistan","M","D","Hockey","0","0","0","223050"
"Asia","Iran","F","D","Shooting","0","0","0","223051"
"Europe","Azerbaijan","M","C","Wrestling","0","0","1","223052"
"Africa","Egypt","M","B","Wrestling","0","0","0","223053"
"Asia","Maldives","M","B","Athletics","0","0","0","223054"
"Africa","Egypt","F","C","Weightlifting","0","0","0","223055"
"Asia","Pakistan","M","B","Hockey","0","0","0","223056"
"North America","Canada","M","B","Athletics","0","0","0","223057"
"Africa","Egypt","M","B","Football","0","0","0","223058"
"Africa","Benin","F","B","Athletics","0","0","0","223059"
"Africa","Cote d'Ivoire","F","B","Athletics","0","0","0","223060"
"Africa","Namibia","F","D","Shooting","0","0","0","223061"
"Asia","Indonesia","M","B","Badminton","0","0","0","223062"
"Europe","Estonia","M","B","Sailing","0","0","0","223063"
"North America","Trinidad and Tobago","F","B","Athletics","0","0","0","223064"
"Europe","Italy","M","C","Water Polo","0","1","0","223065"
"Europe","Lithuania","F","C","Athletics","0","0","0","223066"
"Europe","Germany","M","B","Canoe Slalom","0","0","1","223067"
"Europe","Great Britain","M","D","Sailing","1","0","0","223068"
"Africa","Algeria","F","B","Volleyball","0","0","0","223069"
"Africa","Algeria","F","D","Athletics","0","0","0","223070"
"Asia","Kazakhstan","F","C","Athletics","0","0","0","223071"
"Africa","Cameroon","F","B","Football","0","0","0","223072"
"North America","St Vincent and the G","M","A","Swimming","0","0","0","223073"
"Asia","Turkey","M","B","Athletics","0","0","0","223074"
"Asia","Turkey","M","B","Cycling - Road","0","0","0","223075"
"Asia","Turkey","M","B","Wrestling","0","0","0","223076"
"Asia","Iran","M","C","Wrestling","0","0","0","223077"
"Asia","Russian Federation","M","B","Fencing","0","0","0","223078"
"Europe","Netherlands","F","C","Athletics","0","0","0","223079"
"Asia","Turkey","F","C","Athletics","0","0","0","223080"
"North America","United States of Ame","F","B","Volleyball","0","1","0","223081"
"Africa","Nigeria","M","B","Canoe Slalom","0","0","0","223082"
"Asia","Russian Federation","M","C","Weightlifting","0","0","0","223083"
"Africa","Morocco","F","B","Athletics","0","0","0","223084"
"Asia","Iraq","M","D","Athletics","0","0","0","223085"
"Africa","Tunisia","M","B","Sailing","0","0","0","223086"
"Asia","Japan","F","C","Hockey","0","0","0","223087"
"Africa","Nigeria","M","B","Athletics","0","0","0","223088"
"Asia","United Arab Emirates","M","B","Football","0","0","0","223089"
"Asia","Iraq","F","A","Shooting","0","0","0","223090"
"Asia","United Arab Emirates","M","B","Football","0","0","0","223091"
"Asia","United Arab Emirates","M","B","Football","0","0","0","223092"
"Asia","United Arab Emirates","M","B","Swimming","0","0","0","223093"
"Asia","Saudi Arabia","M","D","Equestrian","0","0","1","223094"
"Asia","United Arab Emirates","M","B","Football","0","0","0","223095"
"Asia","United Arab Emirates","M","B","Football","0","0","0","223096"
"Asia","Palestine","M","B","Athletics","0","0","0","223097"
"Asia","United Arab Emirates","M","B","Football","0","0","0","223098"
"Asia","Qatar","F","B","Shooting","0","0","0","223099"
"Asia","United Arab Emirates","M","B","Football","0","0","0","223100"
"Asia","United Arab Emirates","M","B","Football","0","0","0","223101"
"Asia","Oman","M","C","Shooting","0","0","0","223102"
"Asia","United Arab Emirates","M","C","Football","0","0","0","223103"
"Asia","United Arab Emirates","M","B","Football","0","0","0","223104"
"Asia","United Arab Emirates","M","B","Football","0","0","0","223105"
"Asia","Saudi Arabia","M","C","Equestrian","0","0","1","223106"
"Africa","Egypt","M","B","Football","0","0","0","223107"
"Europe","Spain","F","C","Sailing","1","0","0","223108"
"Europe","Finland","M","D","Wrestling","0","0","0","223109"
"Oceania","Fiji","F","A","Athletics","0","0","0","223110"
"Asia","United Arab Emirates","M","B","Football","0","0","0","223111"
"Asia","Saudi Arabia","M","C","Athletics","0","0","0","223112"
"Asia","Qatar","M","D","Shooting","0","0","0","223113"
"Asia","Qatar","M","D","Shooting","0","0","1","223114"
"Asia","Kuwait","M","D","Athletics","0","0","0","223115"
"Asia","Iraq","M","A","Swimming","0","0","0","223116"
"Asia","Saudi Arabia","M","D","Athletics","0","0","0","223117"
"Africa","Egypt","M","B","Athletics","0","0","0","223118"
"Asia","Yemen","M","A","Athletics","0","0","0","223119"
"Asia","Qatar","M","B","Athletics","0","0","0","223120"
"Asia","Oman","F","A","Athletics","0","0","0","223121"
"Asia","Oman","M","B","Athletics","0","0","0","223122"
"Asia","Iraq","M","B","Weightlifting","0","0","0","223123"
"Asia","United Arab Emirates","M","B","Football","0","0","0","223124"
"Asia","Qatar","F","A","Athletics","0","0","0","223125"
"Asia","Iraq","F","A","Archery","0","0","0","223126"
"Asia","Oman","M","B","Athletics","0","0","0","223127"
"Asia","Saudi Arabia","M","D","Athletics","0","0","0","223128"
"Asia","Kuwait","M","D","Athletics","0","0","0","223129"
"Asia","Saudi Arabia","M","D","Shooting","0","0","0","223130"
"Asia","Kuwait","M","C","Athletics","0","0","0","223131"
"Africa","Ethiopia","M","B","Athletics","0","0","0","223132"
"Asia","Iran","M","B","Table Tennis","0","0","0","223133"
"Europe","Spain","M","B","Football","0","0","0","223134"
"Asia","United Arab Emirates","M","D","Shooting","0","0","0","223135"
"Asia","Kuwait","M","A","Swimming","0","0","0","223136"
"Oceania","Vanuatu","F","B","Athletics","0","0","0","223137"
"Europe","Spain","M","B","Football","0","0","0","223138"
"Asia","Syria","M","B","Swimming","0","0","0","223139"
"Europe","Switzerland","M","D","Cycling - Road","0","0","0","223140"
"Asia","Russian Federation","M","B","Weightlifting","0","0","1","223141"
"Asia","Turkey","F","C","Basketball","0","0","0","223142"
"North America","Jamaica","F","D","Equestrian","0","0","0","223143"
"Europe","Spain","F","C","Handball","0","0","1","223144"
"South America","Uruguay","M","B","Football","0","0","0","223145"
"Europe","Romania","F","B","Rowing","0","0","0","223146"
"North America","Cuba","F","B","Athletics","0","0","0","223147"
"North America","Cuba","M","C","Cycling - Road","0","0","0","223148"
"North America","United States of Ame","M","C","Athletics","0","0","0","223149"
"Europe","Great Britain","F","D","Athletics","0","0","0","223150"
"North America","Guatemala","F","B","Sailing","0","0","0","223151"
"Europe","Ukraine","M","C","Wrestling","0","0","0","223152"
"Asia","Kuwait","M","D","Shooting","0","0","1","223153"
"Asia","United Arab Emirates","M","B","Judo","0","0","0","223154"
"Europe","Spain","M","C","Hockey","0","0","0","223155"
"Europe","Spain","M","D","Hockey","0","0","0","223156"
"Oceania","New Zealand","F","C","Sailing","1","0","0","223157"
